job_id,title,company,location,salary,description,posted_date,url,employment_type,remote,company_rating
98fb316255b5cfb3,"Digital Solutions Developer, Information Technology",Laurentian University,"Greater Sudbury, ON",$43–$49 HOURLY,"Familiarity with content management systems and their backend web services (Drupal, WordPress) and their customization for institutional or business use.",2026-03-11,https://ca.indeed.com/rc/clk?jk=98fb316255b5cfb3&bb=WfLftG5xsDcUFPk1oYs1Jd_Ud0wXewEUq3b5-GiR1EGbqXtDnZFikmzT5559xS7ueEI5T4wtdEIs_scz8EaKBdz-X9plB9LImx7Peh_mpyP-JHIP0c1s5VryIx9w3AmO6DwAP7LJkmvz15acOH3SejGC2PWswM93Q_OFOWXM8EVJbN8O1nHxqBHmmMiopE3Y_GNFBV_-VEy72fbJbV9gkITQ1OC0kO_m&xkcb=SoBY67M3l86kSCx7n50LbzkdCdPP&fccid=1401c05ccd102be7&vjs=3,,False,4.0
1a538f3390713db6,Software Developer,Universal Rail Systems,Canada,,"Conduct thorough testing of software to identify and fix bugs, ensuring the software functions are as intended. 5 years of related experience is required.",2026-03-11,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Detbc2yMmaiSpTx1uP3VtCHFIwLFQiD3NWdnCwVNCRX2eh3XzIlnVC5ebz9TRWQDPixdFH8J72u5kTPPCt_QuGhP97S9hB35XsmCDATcj8B89Fm4lqJgrYpL6Xq7tymmXBJuh-hVeOScKrUSF_os_VVeg7Vyq-fWYD6AT8UxhW1h8X3dQRyvqPWjLC7k6dG2OB8Fo_FYFPFLv-IHEGLG3sALQzEJlxTVEq-akjB-C3f0HeG-dy5TaeATO4jhl5M3FKe2mSGKoj8i-ly6EZ4MIq1fJQPVSH9BsetZCaOwvppr-II9AgKmUpGnOQmh60UEcF8DuK8CVSiJHdfm2mUsHgf-j_3dXDcv4-qmqjf6yQ0bEGGi7Y49-eCvc5zdGFaAlfo52EOsjCe1tPtjwXClvrKesu9S3Go6dORQFwpQ6CeNgn-C6kQTkJ0lhceZgEWajRyt2taJqPH8ftDlmPCXX80HAIkuQko6gBfpHxzHZ9WtoVanZS--5BeJw38ySrzDmsLxuRGOCdM53XuoTCmMLNJkKCtl7UZUdeJ5WHnCIynyo1jyMXo0Ndn2sSlRuUUxHhBY2XU3kKQzVQnfl41Q5pBBkHJBwnFZmjDzK4aBs6hhuS3FfFuOD7PxmFrywoQqQxtwJ2G0kqh-tHre6W8jqsX982t5dUwtXQwpHw5_IrFsl_8jNJAZvHpv2VCECpZxmXNZZrPd9b4WiR2ZEK9TCpQcGG-fMKH3TsO3hCMfVsmGNIBLf0fiSQbZCj9p1rWgESOn5v4NQwNw==&xkcb=SoAY6_M3l86kSCx7n50KbzkdCdPP&camk=ethIe0s0hecye-S-WkCwdw==&p=1&fvj=0&vjs=3,,False,3.5
f08a5bcdce821ed5,Marketing Research and Analytics Intern,Science North,"Greater Sudbury, ON P3E 5S9","$39,130–$39,130 YEARLY","Educational background or equivalent experience in marketing, digital or SEO analytics is required. Must be 18 years of age or older.",2026-04-10,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CstliqjRyknX5FtFLRzuZHBAuJuEPegN0YnMa6x-G20DSy6tLa6zIv0je3F4d4QfcR7m-rqZpRmHRteRBRFmn8H3GVp9M_tgcxXPz_9QAF0tTMYusppDoZY3Km-DrsYHqrmk7NUzdN6sVcekhf8a4d8GutgUm0ijCShUGeEGPSLjsv1FLJ0LWzrbhYVaUGwY2m5DpWsqvUAz_otgjr3CIvBvWb2msQRYnYCYyEV5SXtd82F3yy2BbhwbVhBbe2jhy-JYrf28hJmQUtP6VSIwaWH560RyFn1bhcZgeAyvMTGYMIybCW0hi8KXuWcRVFt92LKZxUXRubIFHPvnroYRmb9ThQSTXH2mCGF2ANDrI-vfzBy8VwlRjq7YZgvyYSn_tJnyn0bQHj0jVI5ldAlEXx0UTLJmv0Afb3oResELqBdQ52qjwdtOT-pilG5ovgqmsRz6AwiqaysGsWekJHRS4qyDbRj4bWVJyeOGSPpDGXgLjC9jg6miqpsrBvi8UxmpN_IHNtzLOoWTNFu3hEufuzE8YZYux9YYCaXtkIfp_HPMTKZNNtulZlrgk26zX0wcJesgnRj7vOdkWNtraTt9jobqtQ_Ccr0yC3n15ACb0Vq2jCeyqHTsDSgxOombAnUdmED5Eu42frgMJqPh1M0gaOsPL7vU5qL-tK1EMjhe-iEsKjY5U3YCwKlXv7NqP9pq57GWsKwSn_8EZaT01w2EAWFhemk5Srsb6G48TF56fcTv6LC8sgyTKIKJhMD3luqQ-HmbRcvVejpaobmMIkCSmFQqj91TjvmrRcxhEr2mEwOElkE5rliEN6&xkcb=SoCF6_M3l86kSCx7n50JbzkdCdPP&camk=ethIe0s0hec-BDECJMIorA==&p=2&fvj=0&vjs=3,,False,3.6
22e8617cacf48ffb,Marketing Public Relations,Levert,"Greater Sudbury, ON",,"2+ years of experience in a marketing or public relations role. Diploma or Degree in Marketing, Public Relations, Business Administration.",2026-04-09,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BHjgBgev7FySd8mYHnknlLPmw0MDB9UCF-iJ_Sp8iCknr-gmRXoKAS-ENzVrUreObdRydmfiZhbh-fOHuY1pM4wiovfeoqiipbPRNYE6fYrxCwgZ8-0YX5qQBv99aBZFFNDizXQEgmBcMC08_4TmRZPpWHyDSf201tO_omBHh57-v01vHRLW6w-2s43HMd2VHu_18hnAZHRMLVAP8kKEtt3v8QHdUe2YJNANDteKkFc1P-E4E5jW8z9nUqJ34FeY6OrPW8L0bogsFtND1L_mgj7YSMK-RII6ZAgkGjB3B1BQoY7fuaUTurDrceOUGieFayKOAhcpfAwu5xm7z5bHJOjjcDHUdzYeZ38hffSEAEZml52zlwnW4QPc7WVQ3EFK2q0qCC8Upacd2b5cxJPDuBSxWXou8bYjRgakC_VK4JdfA5vR5NFrTxv275O4JTqK0na7f5fCgrz8dMtqUVOwDF-oxGJFh5O0Qqo2ZPX_hYkppfkNZNEeqquv87hlXIy2uvh6jW8aPh7rqfvCdW2yIsy5fbbcyH_1Hxei0-Pc25uFbBSxOLXyvFiXHPHi4P12A178zBizMOJRrh_M9JHYrJxQ4ldGnwgRLFNn3CzfdSe0v6hq4vbKsKLgJJWjZ8wZFSIzKK7t7JRnDjGx8qE5Cv2fz4C5knxrOWj8HI_jbzxUxGEJUOkjiO75z1tSNqYgfElZYpmRLBHS7d05r-9-XWsY3C_ValuiIZG5rUK4n4I9jOHGAiGbCLX3zjGmKA_77SFNDvfG0nmDycQz2Nku9jHznqtcAA2pLziMh_JM52OaJtMRpFN2eLeEK-vPr9jp4=&xkcb=SoAx6_M3l86kSCx7n50IbzkdCdPP&camk=UoKtGZLa3XI1Gw0r47jKcA==&p=3&fvj=0&vjs=3,,False,3.7
7d2dfb84f5b131bf,Marketing Intern,YES Theatre,"Greater Sudbury, ON P3E 3E7","$40,000–$40,000 YEARLY","Experience managing or contributing to brand social media accounts. Photography experience (event, portrait, or promotional). Full Time; One Year Contract.",2026-03-20,https://ca.indeed.com/rc/clk?jk=7d2dfb84f5b131bf&bb=WfLftG5xsDcUFPk1oYs1JZTCsYCIORa4VPtOVdNt8PEnsqR6qdwTNCOyMZXX_oWXfZiKeOuNJx_CWqIZgefJg5yEtET-m_u1YHWBvh12fASQXmYFJfdtomBnBV5igQ2ParmP0_PrEYIniNmXUusm7TQFhsAdq55DyZUNGV99LUG0Tx923pl31vRg4u3arlWyA4iIg__a-sRmSKZ7TzQWNsR3rZsVgT6n46fxSOxBJKM%3D&xkcb=SoBL67M3l86kSCx7n50PbzkdCdPP&fccid=6c46d97f67aa34be&cmp=YES-Theatre&ti=Marketing+Intern&vjs=3,,False,
73a76342e77329a9,Design Technologist,"Hexagon Mining, Inc.","Greater Sudbury, ON","$45,500–$64,500 YEARLY",Work with internal ERP software. Post-secondary diploma in engineering design and drafting technology or in a related field. Up to 10% Domestic travel.,2026-01-29,https://ca.indeed.com/rc/clk?jk=73a76342e77329a9&bb=WfLftG5xsDcUFPk1oYs1Ja-MJnDueYhrc4k8ENveLxlKkRtEFnGBiOwaJivK3KvEhePwzPphR15_TsteaJa6qc9aNJlGCcx2LfTl07uuHyBzkjF_L_pFeUys8fIaNqfC-_g02qBHAbieMwgzIuSLkBg4jAb4FYUrVGbUJmDVX2V2EBwrvk-e0oncYHKyeY-ISjdVSmMbKiDgBVR2pJ9FnwVGdFZzplTb3E64LnNLvG4%3D&xkcb=SoD_67M3l86kSCx7n50ObzkdCdPP&fccid=be79c378a31bc528&vjs=3,,False,3.4
3d071b3157f8a68e,Senior Corporate Law Clerk,MLA Law,"Greater Sudbury, ON P3C 4Y1","$65,000–$85,000 YEARLY","Leadership skills with the ability to mentor junior staff. Mentor and train junior clerks, providing guidance on legal processes and documents.",2026-04-10,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ClCbtj5vTb_F7oVjp6rLIn_d3_KRxrRyLzE0_aWVMHp8q9lVUULzGdjeNsy8hiRnur6_1rZyycG7bBKAA6DrrmHNHO3IUCOSQWk-F8zRuMdcjjZHeOmykd7GxB8uRfjoG9d0JJez2JOrnAmFpk8DY_XUnp46AWzr7I2eCWqY2fnpENE-ujg1H3_97osPNxhmfxS6uUSLBvq_zSiyl28ZJWGExoV5i4BKmjBXng1F4N2BH0JQmPpPWkgKU0xVWIf6b9mbRPhEfLar-yF_fBHmhiBVMKUE-pai7IDQn97heE1hjuyVzGCuQZgjq79MLwyQFj9yrQSSRXwGhgW0uKNj5SX9XyUQCfPJD_CEXdD9JdPGQgCtpH-ZOmiPGYqoMaJU7ejBtLK_XvnMbIwION5nZ6onbZRakiYbIFSpEJMJIZ1lxoMq5_wBwrvZbh7qjQ9PCs08KxhWMMGUE5RzMqqouTtWlnu1ITOPKMnYI9YVYpH09XDPZU9G3uT6gn1oTV3eHVL5CsgkKII5qkBZJSbURYfn0UMQGehbHr2GZeg-0B8FnwdVSmAmZQ7QyFQ9VFdBOKJ8HYMddS6Ib3fhEwf3i-ChiNt9nfqni0Hgn5wndCTpMJ7Fd71JK9x6ut0aBIRLNMehgJtliYq6nm-VNm-gPHO_UtGrB2Au2KsVEWH8rJwFTbb5YC48663SZXtMyfxPhqFrGOaHyNBnhNmxps4gQpYP0Bwk-0YlMB1SsmSpMQtW4Q46i7rdrkKS7Nb72-K6gH-SVb3Wm6bM6vvS34cD25pfUSmk0s_vQx1tzBUNHEAA==&xkcb=SoCW6_M3l86kSCx7n50NbzkdCdPP&camk=C3EPSzFlQw-N_ja3CUcdyw==&p=6&fvj=0&vjs=3,"Full-time, Permanent",False,
cef9be678fa9142d,Business Analyst,Metrolinx,Canada,"$80,588–$80,588 YEARLY",Familiarity with cloud environments (Azure or AWS) and fundamental ETL concepts. Experience in the transportation or public sector is considered an asset.,2026-03-30,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DXEmLNxhlfb1DfQPRi2Hqqw8iFFwmn1EOj9RQ70l9iJyiFrzmYjKIH29Qdx7PbvXHOYwDbv5eiIcevSfnLDqvNmy9SEUEtZg7K7jRW95fU9KDqE1TIWfacLZAMGTio_dWVcNnUvOsoWdRPoPq405nkC7bktU6i-vq0auIX5TKmBq7PkpA9BpVzjL25SpL2OY7l9oeD4JVOWQutWeyElVVJcIBUvEcm2tfWEH-X8XLBl_VphCOv4pH_pQsXn1sEC8htV4ujNYxCL68lmOv2zzoU1FRrBsMgWXzaC6PE3hBGoObJbTv1dpDLWFCXQsXWvi32Vu4BZ6nSbG1cBZ04GhypiMtuEVhaODKiH3aWHX2EpwHmR4asa6r0TSrROQLghSNHZJccti_riVUzvAmwVCzAd8rhlI11caXtEuU7RDuTWHnq9Q-69GCMeNbYTrplE4Js9U7XgfV8JuOJjMHBBNGmiAXWiKSqwZtIIHPOIk6wkCUDvEq9hoq0u3vl_ULIGbrQnMlUXS2jfWZWhdENoe0Ul4DJIf9pdAsyNTXn2nQTx9Jok1Jv7XxbClGvERztJkaiMA0t4HM2633Ol7TH9rhe7RKo7ZPVuaFbn6nuu9mmjT8q5_fjF79lU-xKNHBz2lG6WdBIoljjo5lFHzOi9p2ap-zB_6Wq9oM_-ZCfXDFoFAL2x2zBphsQKACkrjTYFWJOqE5If73DFew3I3YkzyebmTWXyYgsc-qtyyleav_fm9Lg-w7UeyXTC3op1ZkYV7kK_C569WW2oa_Udx8mTAtjuZMyU0BGM3Rk9SPKlJxO6rZClTkso3VA&xkcb=SoAi6_M3l86kSCx7n50MbzkdCdPP&camk=nUmJqO2E8rgAWpNknCzuMA==&p=7&fvj=0&vjs=3,,False,3.7
f7f39fb50dce1f5b,Facilitator and Resource Developer,Oahas,"Greater Sudbury, ON P3C 1R8","$56,531–$60,000 YEARLY","Familiarity with video editing software and techniques. Prefer a diploma or degree in a relevant field and/or a combination of related experience, prefer…",2024-12-19,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CuCpc3JgAnmDPox0Pa7M5L-dWr-MqheEdfbKG0eJS-G014i4m44V2abKaFctzRZ9TJPycltJ23rLghjhuFL6_Thdm1qiJAbPlCbQSNtfWzeeyiQY1O8rfoWnrMLrYsnVDbkpVTVVuP7Oci9dw4OD1MIdPY3nWVuAPwjX_1IphxF_2vOn9DEjpxn1TYIepeX69dv-zzPCvh6FDWskX0JTIgavWcdM-6YFqE2AhA7Gw0UvOZM8JDycIyiB0O40QAmYw7_YhLtBCkPaHLMzir9Hbgk6ZfSBT_TbbkX0m8E1qRzl0jdW8Iwt_STg4FVRx9xsDEjVgh8bGhuEe_Jk9QYrbL09AkhUkwoqxGDv3uosPlXVoaFbsoBOyvzQBo8DJouRag4glO2b0yVfo8AvfRp0vRNpFOzxdv9hk_Rj3_D6ngJtM92A4WPv7HH15S1tQVJ3zUxpN7m3G5Z6iwP18azOEe5keEGlhKOlhLYAmLDcsatbjQMYGapZx1ImN2qUPNA2VHrh6x2elv7jkcWBQDi_QzpT3XF5e4cUzwa2Ufr6nXoUXUB6VwEBOdpe-5UpggWVwKL9BsCJzyWInM9vQifHbMw5tjujvZZqdojxA1eQUctxBjcFE0qb9P9QPDMfa4q6LynzqvEfKfmauLq-JtEsGePQ4cIAT_SOJrndFPzOUhAmtjqzROxWbjBGuP_HL6-7rsq2EmNqCMLDNM5hMYdgMa0CBkM4haRe4mZ-TH6NU-D-tjzb7hs6qM5X5Brz8bsisiOC9BNeX_fjw5riuTT-opwKRfk1FL_gl3IMqcI_t6a3aLkpxKhtEg&xkcb=SoDL6_M3l86kSCx7n50DbzkdCdPP&camk=C3EPSzFlQw_VdqrWjM7KJQ==&p=8&fvj=0&vjs=3,,False,
347cf8c6f3171f5a,Drill Hole Planner - Entry Level Position,Aziwell Canada,"Greater Sudbury, ON","$60,000–$-1 YEARLY","Proficiency with drilling planning or CAD software (such as DrillPlan, WellPlan, AutoCAD, or similar). AEC / DEP or Skilled Trade Certificate (preferred).",2026-03-16,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BTB6Ey_vcLyfiOUobyHoJkVSC9UzV_ESG0acRHTR5TB8AFf5t48nfZ3iBZNDHeHYRfjivvetW6UCPrNdD9DewLzBTCWii2yd61EV4EED0bxxxIVE7GXX1h4dpnjlz_5XVzmCbgvIScQv1JLQA1mAMRCnLkO6AfFw2Md8yQsoFLBpeukFkKcl0t_xmEjdUaLhN3ND6_KfS9NY9Qw4_GpNgApD2ILcC7ZCMfhvoYI5oDwRH_rOjrc_6zrbVDJQlQUB9LA3lCLZp3ZkftBonCBqz0VcZZNVkoWNVfC2Wlwd6mwiT_DEonQ1pblk7Io7sCwPSearGKVEBkBhLxXTJut9qPUuuWfyA3a1JXsVs-mdGQJnmKVyD3AdZvIU6kmLz6haKEcDTE2ZkBySifRC0BpJolNbLGexuZkmhX5m9pokMwDdlh5luH5haOXldWz7E2ELX7YDx8UWo2KYfui_NNVaj4crq24S_K8Blqd845AE1g8mJ828Z05XnlYGhgfyE2ebrnvTqjh1avo6HybKJsynRB8cqFjg9vyVHG3Zi6BzYAM_jxlp19FwGGM4wyz--5L_xCC-Sh0mcAK6MeL29ANGSRXwlJIxgLK5OJ6MGYlyXB6ODiumtLhtVX5YKvRTY93Mrv_MKdh-jfeL0zgnJ_nWMg8h-DstQWxzfyo4G3E9Mje7lRZymOFTE0bGiOMNPUwp2N4D1FOcic2pOfhwkVhNbLibRVokEzmD7qovEEaFjJgEfZ0hjcvDRHZzQFDlNhJL0pA4SXeuhopXqbMMWKY6YKmTwHdhl-H--Yck3GfOxVlzc5qm_LW6UQ&xkcb=SoB_6_M3l86kSCx7n50CbzkdCdPP&camk=UoKtGZLa3XICFgjb4wxRhg==&p=9&fvj=0&vjs=3,"Full-time, Permanent",False,
